designation,source_id,ra,dec,parallax,radial_velocity,non_single_star,teff_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 704967037090946688,704967037090946688,133.146760620834,28.329783000362703,79.44818375718161,27.187504,0,5184.4775,55Cnc,133.14921293501794,28.330820831797222,79.4482,-485.681,-233.517,27.394,2000.0,9.736394845569942E-8
Gaia DR3 6230733559097425152,6230733559097425152,225.07985270942575,-24.454206065152903,36.3525467083987,-26.563766,0,4248.376,CD-2312010,225.08082665422995,-24.45408163177,36.3525,-199.483,-27.997,-26.34,2000.0,3.061833034813524E-8
Gaia DR3 2908664557091200768,2908664557091200768,83.26925287515645,-26.72384884501141,30.65166867430715,48.664806,0,4713.7217,CD-262288,83.26916884783,-26.72451898944,30.6517,16.886,150.779,48.761,2000.0,3.226798366748115E-8
Gaia DR3 5509620021956148736,5509620021956148736,106.5591260459907,-47.587835862615755,21.09278431183061,55.837627,0,4495.351,CD-472804,106.55823032094,-47.58718669785,21.0928,135.928,-146.058,55.63,2000.0,3.810707175441637E-8
Gaia DR3 5287888182069257344,5287888182069257344,116.59426681265492,-64.05598517446963,8.790257798060097,96.439316,0,5711.3174,CD-63345,116.59624326227,-64.05674674769,8.7903,-194.545,171.355,96.72,2000.0,5.041091714554364E-8
Gaia DR3 3107267177757848576,3107267177757848576,100.95616972793913,-1.0630075792826124,6.267554809898366,31.048172,0,5351.1714,CoRoT-07,100.95612090171,-1.0630074007499999,6.2676,10.984,-0.04,31.11,2000.0,7.828441828756906E-10
Gaia DR3 5902750168276592256,5902750168276592256,230.43977568214885,-48.31885569587278,67.84669435693799,-68.7763,0,5620.91,HD136352,230.4506246271504,-48.317630529697226,67.8467,-1623.275,-275.548,-68.78,2000.0,1.1753128653352103E-6
Gaia DR3 6258810550587404672,6258810550587404672,231.74205733389036,-16.50900794466127,6.421715271822694,-2.8486452,0,5739.13,HD137496,231.74196066318,-16.50879910827,6.4217,20.854,-46.988,-2.65,2000.0,1.2780604565919743E-9
Gaia DR3 30398648945512960,30398648945512960,49.178140054770196,15.656326124646728,15.658506873396828,-71.42865,0,5755.423,HD20329,49.17762414838,15.65722570946,15.6585,111.774,-202.41,-71.629,2000.0,3.6669320750263514E-8
Gaia DR3 6407428994690988928,6407428994690988928,338.98368670298856,-59.864840792917406,20.931737658313722,36.037712,0,5747.6714,HD213885,338.98464622884,-59.86446540746999,20.9317,-108.387,-84.46,36.22,2000.0,1.7638233823958152E-8
Gaia DR3 6407428994689762560,6407428994689762560,338.98316371944026,-59.864656998860085,,,0,,HD213885,338.98464622884,-59.86446540746999,20.9317,-108.387,-84.46,36.22,2000.0,3.204939893983886E-4
Gaia DR3 4674216245427964416,4674216245427964416,55.45900041524187,-62.76727286183441,25.581744043609415,34.441147,0,4626.067,HD23472,55.45999490036999,-62.76707700748,25.5817,-102.393,-44.066,34.462,2000.0,1.4728492369613053E-8
Gaia DR3 3409148746676599168,3409148746676599168,76.44594457101446,21.548185573040502,11.171355158686364,24.971502,0,5621.2837,HD285181,76.44579791794,21.54861674215,11.1714,30.691,-97.013,24.824,2000.0,2.1667267972086917E-9
Gaia DR3 2554032474712538880,2554032474712538880,8.740163711260601,4.380697426610551,21.136283615337245,19.398817,0,,HD3167,8.73968422165,4.38146780362,21.1363,107.569,-173.334,19.456,2000.0,1.1540684140623767E-8
Gaia DR3 606477252238780160,606477252238780160,140.33907970233588,14.367867248047087,9.259962146553997,8.396215,0,5817.8135,HD80653,140.33923246701,14.367929649359995,9.26,-33.297,-14.04,8.49,2000.0,1.3477648801861677E-9
Gaia DR3 729899906357408768,729899906357408768,162.77668261825656,25.6410618560591,12.150601874643645,13.366902,0,5846.199,HD93963,162.77714028055,25.64116368243,12.1506,-92.833,-22.911,0.0,2000.0,2.0680605157444732E-9
Gaia DR3 2582617711154563968,2582617711154563968,13.080032578577232,10.794705384870028,4.085426793344734,-14.786697,0,5496.631,K2-106,13.079756556790002,10.794696215230001,4.0854,61.006,2.063,-15.4703,2000.0,1.0503687662617362E-9
Gaia DR3 53006669599267328,53006669599267328,59.89032635978607,21.298521348429873,5.035355572432337,-16.611172,0,5450.2637,K2-111,59.889742178337926,21.298678907334168,5.0354,122.463,-35.451,-15.8862,2000.0,2.751075791724321E-9
