planet_name,period,planet_mass,planet_radius,planet_mass_rel_err,planet_radius_rel_err,gaia_dr3_id,stellar_eff_temp,stellar_surface_gravity,stellar_metallicity,stellar_metallicity_upper,stellar_metallicity_lower,stellar_metallicity_ratio,Number of Spectra
55 Cnc e,0.7365474,0.02514,0.167,0.0407716785998408,0.0179640718562874,704967037090946688,5172.0,4.43,0.35,0.1,0.1,[Fe/H],4
CoRoT-7 b,0.8535,0.01905,0.136,0.10761154855643,0.0441176470588235,3107267177757848576,5250.0,,,,,,3
EPIC 220674823 b,0.571292,0.02583,0.154,0.0913666279519938,0.0194805194805194,2582617711154563968,5532.0,,0.11,0.05,0.05,[Fe/H],24
EPIC 249893012 b,3.5951,0.02753,0.174,0.124046494733019,0.043103448275862,6259263137059042048,5430.0,3.99,0.2,0.05,0.05,[Fe/H],35
K2-229 b,0.584249,0.00815,0.104,0.165644171779141,0.048076923076923,3583630934082556416,5185.0,4.56,-0.06,0.02,0.02,[Fe/H],1
HD 136352 b,11.57797,0.01485,0.148,0.0888888888888888,0.027027027027027,5902750168276592256,5664.0,4.39,-0.24,0.05,0.05,[M/H],2
HD 137496 b,1.62116,0.01271,0.117,0.136113296616837,0.0384615384615384,6258810550587404672,5799.0,4.05,-0.03,0.04,0.04,[Fe/H],2
HD 15337 b,4.75642,0.02265,0.152,0.112582781456954,0.0328947368421052,5068777809824976256,5131.0,4.37,0.03,0.04,0.04,[Fe/H],2
HD 20329 b,0.926118,0.02335,0.153,0.146895074946467,0.0392156862745098,30398648945512960,5596.0,4.4,-0.07,0.06,0.06,[Fe/H],3
HD 213885 b,1.008035,0.02778,0.156,0.0743340532757379,0.032051282051282,6407428994690988928,5978.0,4.38,-0.04,0.03,0.03,[Fe/H],2
HD 3167 b,0.95965428,0.01488,0.145,0.0601478494623655,0.0413793103448275,2554032474712538880,5300.0,4.47,0.037,0.048,0.048,[Fe/H],4
HD 80653 b,0.719573,0.018,0.144,0.0619444444444444,0.0416666666666666,606477252238780160,5959.0,,0.255,0.065,0.065,[Fe/H],1
HIP 29442 c,3.53796,0.01416,0.141,0.0663841807909604,0.0673758865248227,2993561629444856960,5289.0,4.39,0.24,0.05,0.05,[Fe/H],85
K2-111 b,5.3518,0.01756,0.162,0.131833712984055,0.0555555555555555,53006669599267328,5775.0,,-0.46,0.05,0.05,[Fe/H],39
K2-131 b,0.3693038,0.02486,0.151,0.164521319388576,0.043046357615894,3580920878437938688,5120.0,,-0.04,0.07,0.07,[Fe/H],2
K2-265 b,2.369172,0.02058,0.153,0.128279883381924,0.065359477124183,2597119620985658496,5477.0,4.42,0.078,0.02,0.02,[Fe/H],1
K2-291 b,2.225177,0.02042,0.142,0.178746327130264,0.0492957746478873,3409148746676599168,5520.0,4.5,0.08,0.04,0.05,[Fe/H],1
K2-38 b,4.01593,0.02423,0.148,0.149401568303756,0.0608108108108108,6237129658760381056,5705.0,,0.235,0.07,0.07,[Fe/H],43
TOI-238 b,1.2730991,0.0107,0.125,0.135514018691589,0.064,2405081733281425280,5059.0,4.58,-0.114,0.051,0.051,[Fe/H],80
TOI-561 b,0.4465688,0.00705,0.122,0.0893617021276595,0.0327868852459016,3850421005290172416,5326.0,4.5,-0.41,0.05,0.05,[Fe/H],2
WASP-47 e,0.78961,0.02832,0.163,0.055614406779661,0.0122699386503067,2613413008919918976,5552.0,,,,,,31
