star,teff,erteff,logg,erlogg,vtur,ervtur,feh,erfeh,NaI,NaI_err,NaI_rel_sun,MgI,MgI_err,MgI_rel_sun,SiI,SiI_err,SiI_rel_sun,TiI,TiI_err,TiI_rel_sun,NiI,NiI_err,NiI_rel_sun,source_id,target_id,planet_name,period,planet_mass,planet_radius,planet_mass_rel_err,planet_radius_rel_err,gaia_dr3_id,stellar_eff_temp,stellar_surface_gravity,stellar_metallicity,stellar_metallicity_upper,stellar_metallicity_lower,stellar_metallicity_ratio,Number of Spectra,f_iron_pbb,f_iron_pbb_err,f_iron_exolens_P,f_iron_exoplens_P_upper,f_iron_exolens_P_lower,f_iron_exolens_S,f_iron_exolens_S_err,f_iron_exoplex_gaus,f_iron_exoplex_unif,f_iron_exoplex_gaus_err,f_iron_exoplex_unif_err,semi_major_axis,semi_major_axis_lower,semi_major_axis_upper,T_eq
55Cnc_SINGLEHR11_ESPRESSO_2022,5310,51,4.211,0.116,0.907,0.069,0.299,0.033,6.931,0.064,0.513,7.992,0.043,0.379,7.927,0.041,0.356,5.415,0.102,0.403,6.64,0.07,0.372,7.04967037090947e+17,55cnc,55 Cnc e,0.7365474,0.02514,0.167,0.0407716785998408,0.0179640718562874,7.04967037090947e+17,5172,4.43,0.35,0.1,0.1,[Fe/H],4,29.03,2.1,6.86280263205778,8.43184781585898,8.79696085112531,29.0368161489226,3.02229744379813,8.171521026285998,5.37306508248214,4.694734397530948,0.0,0.01544,0.00005,0.00005,1946.8328780806548
CoRoT-07_ESPRESSO_2024,5269,31,4.381,0.07,0.694,0.061,0.044,0.02,6.456,0.116,0.038,7.594,0.023,-0.019,7.655,0.052,0.084,5.121,0.074,0.109,6.312,0.041,0.044,3.10726717775785e+18,corot-07,CoRoT-7 b,0.8535,0.01905,0.136,0.10761154855643,0.0441176470588235,3.10726717775785e+18,5250,,,,,,3,32.34,1.98,54.7482068486724,13.767430813778,15.4083282889374,32.3459373490118,2.3760821460381,36.328415393088335,55.96930628771286,7.909220619345364,6.297244444701083,0.01713,0.00012,0.00012,1752.3361690577458
K2-106_ESPRESSO_2024,5505,24,4.338,0.04,0.738,0.037,0.08,0.017,6.498,0.062,0.08,7.687,0.045,0.074,7.627,0.011,0.056,5.107,0.04,0.095,6.317,0.031,0.049,2.58261771115456e+18,k2-106,EPIC 220674823 b,0.571292,0.02583,0.154,0.0913666279519938,0.0194805194805194,2.58261771115456e+18,5532,,0.11,0.05,0.05,[Fe/H],24,33.13,1.36,40.142837334169,9.09792799854168,10.1396233153709,33.135240102547,2.79496362881124,35.79916543787744,29.06199034539985,5.5005301923780285,13.267038706317782,0.01326,0.00023,0.00028,2305.992464005705
K2-314_ESPRESSO_2024,5555,21,4.023,0.039,1.008,0.026,0.163,0.017,6.556,0.058,0.138,7.88,0.045,0.267,7.782,0.061,0.211,5.234,0.04,0.222,6.44,0.032,0.172,6.25926313705904e+18,k2-314,EPIC 249893012 b,3.5951,0.02753,0.174,0.124046494733019,0.043103448275862,6.25926313705904e+18,5430,3.99,0.2,0.05,0.05,[Fe/H],35,28.73,2.01,-0.973743219335133,21.886443096419,24.8508498039786,28.7659982264847,2.99046691714353,17.07066198081178,,7.319742728858689,,0.047,0.007,0.005,1580.0791152031688
K2-229_ESPRESSO_2024,5126,34,4.336,0.079,0.809,0.066,-0.088,0.02,6.34,0.03,-0.078,7.548,0.048,-0.065,7.561,0.032,-0.01,4.995,0.066,-0.017,6.165,0.045,-0.103,3.58363093408256e+18,k2-229,K2-229 b,0.584249,0.00815,0.104,0.165644171779141,0.048076923076923,3.58363093408256e+18,5185,4.56,-0.06,0.02,0.02,[Fe/H],1,29.55,1.62,67.6999619277597,15.1509264237246,18.2618955085062,29.5788644894689,3.00646465898913,31.82986714585045,71.45250803129575,8.301016218128941,11.685724536158206,0.012888,0.00013,0.00013,1958.3910677546742
HD136352_SINGLEHR11_ESPRESSO_2022,5652,16,4.371,0.03,0.88,0.028,-0.353,0.013,6.082,0.046,-0.336,7.48,0.056,-0.133,7.359,0.014,-0.212,4.856,0.035,-0.156,5.92,0.024,-0.348,5.90275016827659e+18,hd136352,HD 136352 b,11.57797,0.01485,0.148,0.0888888888888888,0.027027027027027,5.90275016827659e+18,5664,4.39,-0.24,0.05,0.05,[M/H],2,24.11,1.26,-0.563045322031831,15.1357658579481,16.721094832876,24.1331768263211,2.74689695233973,13.41964200666469,,6.060812735237997,,0.0964,0.0028,0.0028,906.082071856102
HD137496_ESPRESSO_2024,5797,18,4.093,0.025,1.129,0.022,-0.034,0.014,6.26,0.047,-0.158,7.621,0.017,0.008,7.551,0.014,-0.02,5.009,0.031,-0.003,6.191,0.021,-0.077,6.2588105505874e+18,hd137496,HD 137496 b,1.62116,0.01271,0.117,0.136113296616837,0.0384615384615384,6.2588105505874e+18,5799,4.05,-0.03,0.04,0.04,[Fe/H],2,31.01,0.88,67.5141491001691,12.0881977314948,14.0520728365744,31.0104527022171,1.24358932113651,31.330112194459524,67.90661856164553,3.296939277730928,6.327952092543489,0.02732,0.00019,0.00019,2134.2299020787254
TOI-402_ESPRESSO_2024,5067,47,4.201,0.119,0.568,0.098,0.054,0.027,6.582,0.049,0.164,7.719,0.042,0.106,7.686,0.029,0.115,5.125,0.102,0.113,6.372,0.054,0.104,5.06877780982498e+18,toi-402,HD 15337 b,4.75642,0.02265,0.152,0.112582781456954,0.0328947368421052,5.06877780982498e+18,5131,4.37,0.03,0.04,0.04,[Fe/H],2,29.49,1.72,33.1953717451789,14.0089737472488,15.7696519017654,29.49863950847,2.78116427973767,29.670903169175105,15.68336970738124,6.368860961658304,1.5500631173092096,0.05245,0.00072,0.00085,990.601060086059
HD20329_ESPRESSO_2024,5574,17,4.285,0.031,0.824,0.028,-0.106,0.014,6.325,0.055,-0.093,7.748,0.019,0.135,7.601,0.021,0.03,5.129,0.036,0.117,6.192,0.019,-0.076,3.0398648945513e+16,hd20329,HD 20329 b,0.926118,0.02335,0.153,0.146895074946467,0.0392156862745098,3.0398648945513e+16,5596,4.4,-0.07,0.06,0.06,[Fe/H],3,23.83,0.84,33.6243152344884,16.9647224277501,19.8926265647609,23.8233670913396,1.16015047723726,22.2721641288409,41.050002475782016,2.90400618283148,8.116552202655258,0.018,0.0003,0.0003,2138.9988544964526
HD213885_ESPRESSO_2024,5906,17,4.427,0.025,1.043,0.025,-0.005,0.013,6.402,0.016,-0.016,7.594,0.012,-0.019,7.563,0.013,-0.008,5.018,0.028,0.006,6.25,0.02,-0.018,6.40742899469099e+18,hd213885,HD 213885 b,1.008035,0.02778,0.156,0.0743340532757379,0.032051282051282,6.40742899469099e+18,5978,4.38,-0.04,0.03,0.03,[Fe/H],2,32.69,0.81,41.9210039701164,11.1002575555364,12.017024119168,32.6953490820234,1.03736394543081,31.55025999783768,38.05975372939756,2.837946445511736,16.772734767581277,0.02012,0.00012,0.00015,2132.3973889465437
