star,teff,erteff,logg,erlogg,vtur,ervtur,feh,erfeh,NaI,NaI_err,NaI_rel_sun,MgI,MgI_err,MgI_rel_sun,SiI,SiI_err,SiI_rel_sun,TiI,TiI_err,TiI_rel_sun,NiI,NiI_err,NiI_rel_sun,source_id,target_id,planet_name,period,planet_mass,planet_radius,planet_mass_rel_err,planet_radius_rel_err,gaia_dr3_id,stellar_eff_temp,stellar_surface_gravity,stellar_metallicity,stellar_metallicity_upper,stellar_metallicity_lower,stellar_metallicity_ratio,Number of Spectra
55Cnc_SINGLEHR11_ESPRESSO_2022,5310.0,51.0,4.211,0.116,0.907,0.069,0.299,0.033,6.931,0.064,0.513,7.992,0.043,0.379,7.927,0.041,0.356,5.415,0.102,0.403,6.64,0.07,0.372,704967037090946688,55cnc,55 Cnc e,0.7365474,0.02514,0.167,0.0407716785998408,0.0179640718562874,704967037090946688,5172.0,4.43,0.35,0.1,0.1,[Fe/H],4
CoRoT-07_ESPRESSO_2024,5269.0,31.0,4.381,0.07,0.694,0.061,0.044,0.02,6.456,0.116,0.038,7.594,0.023,-0.019,7.655,0.052,0.084,5.121,0.074,0.109,6.312,0.041,0.044,3107267177757848576,corot-07,CoRoT-7 b,0.8535,0.01905,0.136,0.10761154855643,0.0441176470588235,3107267177757848576,5250.0,,,,,,3
K2-106_ESPRESSO_2024,5505.0,24.0,4.338,0.04,0.738,0.037,0.08,0.017,6.498,0.062,0.08,7.687,0.045,0.074,7.627,0.011,0.056,5.107,0.04,0.095,6.317,0.031,0.049,2582617711154563968,k2-106,EPIC 220674823 b,0.571292,0.02583,0.154,0.0913666279519938,0.0194805194805194,2582617711154563968,5532.0,,0.11,0.05,0.05,[Fe/H],24
K2-314_ESPRESSO_2024,5555.0,21.0,4.023,0.039,1.008,0.026,0.163,0.017,6.556,0.058,0.138,7.88,0.045,0.267,7.782,0.061,0.211,5.234,0.04,0.222,6.44,0.032,0.172,6259263137059042048,k2-314,EPIC 249893012 b,3.5951,0.02753,0.174,0.124046494733019,0.043103448275862,6259263137059042048,5430.0,3.99,0.2,0.05,0.05,[Fe/H],35
K2-229_ESPRESSO_2024,5126.0,34.0,4.336,0.079,0.809,0.066,-0.088,0.02,6.34,0.03,-0.078,7.548,0.048,-0.065,7.561,0.032,-0.01,4.995,0.066,-0.017,6.165,0.045,-0.103,3583630934082556416,k2-229,K2-229 b,0.584249,0.00815,0.104,0.165644171779141,0.048076923076923,3583630934082556416,5185.0,4.56,-0.06,0.02,0.02,[Fe/H],1
HD136352_SINGLEHR11_ESPRESSO_2022,5652.0,16.0,4.371,0.03,0.88,0.028,-0.353,0.013,6.082,0.046,-0.336,7.48,0.056,-0.133,7.359,0.014,-0.212,4.856,0.035,-0.156,5.92,0.024,-0.348,5902750168276592256,hd136352,HD 136352 b,11.57797,0.01485,0.148,0.0888888888888888,0.027027027027027,5902750168276592256,5664.0,4.39,-0.24,0.05,0.05,[M/H],2
HD137496_ESPRESSO_2024,5797.0,18.0,4.093,0.025,1.129,0.022,-0.034,0.014,6.26,0.047,-0.158,7.621,0.017,0.008,7.551,0.014,-0.02,5.009,0.031,-0.003,6.191,0.021,-0.077,6258810550587404672,hd137496,HD 137496 b,1.62116,0.01271,0.117,0.136113296616837,0.0384615384615384,6258810550587404672,5799.0,4.05,-0.03,0.04,0.04,[Fe/H],2
TOI-402_ESPRESSO_2024,5067.0,47.0,4.201,0.119,0.568,0.098,0.054,0.027,6.582,0.049,0.164,7.719,0.042,0.106,7.686,0.029,0.115,5.125,0.102,0.113,6.372,0.054,0.104,5068777809824976256,toi-402,HD 15337 b,4.75642,0.02265,0.152,0.112582781456954,0.0328947368421052,5068777809824976256,5131.0,4.37,0.03,0.04,0.04,[Fe/H],2
HD20329_ESPRESSO_2024,5574.0,17.0,4.285,0.031,0.824,0.028,-0.106,0.014,6.325,0.055,-0.093,7.748,0.019,0.135,7.601,0.021,0.03,5.129,0.036,0.117,6.192,0.019,-0.076,30398648945512960,hd20329,HD 20329 b,0.926118,0.02335,0.153,0.146895074946467,0.0392156862745098,30398648945512960,5596.0,4.4,-0.07,0.06,0.06,[Fe/H],3
HD213885_ESPRESSO_2024,5906.0,17.0,4.427,0.025,1.043,0.025,-0.005,0.013,6.402,0.016,-0.016,7.594,0.012,-0.019,7.563,0.013,-0.008,5.018,0.028,0.006,6.25,0.02,-0.018,6407428994690988928,hd213885,HD 213885 b,1.008035,0.02778,0.156,0.0743340532757379,0.032051282051282,6407428994690988928,5978.0,4.38,-0.04,0.03,0.03,[Fe/H],2
